name,datetime,temp,humidity,precip,windspeed,sealevelpressure,conditions
London,2023-01-03 23:00:00,12.8,86.51,0.0,17.5,1014.0,Overcast
London,2023-01-03 22:00:00,12.3,91.78,0.0,17.6,1013.5,Overcast
London,2023-01-03 21:00:00,11.8,91.77,0.2,15.3,1013.6,"Rain, Overcast"
London,2023-01-03 20:00:00,11.3,90.52,0.001,18.2,1014.2,"Rain, Overcast"
London,2023-01-03 19:00:00,11.3,89.32,0.001,19.9,1014.6,"Rain, Overcast"
London,2023-01-03 18:00:00,11.1,88.7,0.002,19.8,1015.4,"Rain, Overcast"
London,2023-01-03 17:00:00,11.1,88.7,0.0,17.6,1015.8,Overcast
London,2023-01-03 16:00:00,11.0,88.1,0.0,16.4,1016.6,Overcast
London,2023-01-03 15:00:00,10.8,87.48,0.0,15.6,1017.1,Overcast
London,2023-01-03 14:00:00,10.6,88.67,0.0,15.7,1017.6,Overcast
London,2023-01-03 13:00:00,10.1,90.44,0.003,17.6,1018.4,"Rain, Overcast"
London,2023-01-03 12:00:00,9.8,92.26,0.997,15.6,1019.3,"Rain, Overcast"
London,2023-01-03 11:00:00,9.8,89.18,0.797,15.3,1020.3,"Rain, Overcast"
London,2023-01-03 10:00:00,10.1,84.51,0.0,15.6,1020.6,Overcast
London,2023-01-03 09:00:00,9.3,89.17,0.0,12.5,1020.7,Overcast
London,2023-01-03 08:00:00,8.1,94.71,0.0,9.4,1020.7,Partially cloudy
London,2023-01-03 07:00:00,6.8,97.96,0.0,7.2,1021.2,Partially cloudy
London,2023-01-03 06:00:00,6.5,95.3,0.0,5.5,1021.3,Partially cloudy
London,2023-01-03 05:00:00,5.8,94.63,0.0,4.0,1021.5,Partially cloudy
London,2023-01-03 04:00:00,6.0,92.05,0.0,2.8,1021.5,Partially cloudy
London,2023-01-03 03:00:00,6.1,88.29,0.001,2.8,1022.2,"Rain, Overcast"
London,2023-01-03 02:00:00,5.5,85.8,0.0,2.8,1022.3,Overcast
London,2023-01-03 01:00:00,4.1,89.97,0.0,3.0,1022.5,Partially cloudy
London,2023-01-03 00:00:00,4.1,91.26,0.0,2.2,1023.2,Partially cloudy
London,2023-01-02 23:00:00,4.1,94.5,0.0,4.0,1023.3,Partially cloudy
London,2023-01-02 22:00:00,2.8,93.14,0.0,2.6,1023.6,Partially cloudy
